movieid,businesstext
1672052,"BT: AUD 650,000

CP: South Australian Film Corporation
CP: Southern Star Sales

GR: USD 7,142,857 (USA)
GR: AUD 4,735,000 (Australia) (9 August 2004)

SD: 26 March 1979 - 3 June 1979"
1672111,"AD: 794,938 (Sweden)
AD: 3,746,964 (West Germany)

BT: AUD 15,800,000

CP: Rimfire Films Limited

GR: USD 109,305,000 (USA)
GR: USD 239,700,000 (Worldwide) (2004)
GR: USD 130,268,000 (Worldwide) (except USA)
GR: AUD 24,916,805 (Australia)
GR: SEK 34,749,284 (Sweden)

OW: AUD 2,005,536 (Australia) (21 May 1988)

RT: USD 57,300,000 (USA)

SD: 24 August 1987 - ?"
1672580,"BT: USD 10,000,000

GR: USD 3,478,370 (USA) (3 August 1997)
GR: USD 3,344,136 (USA) (22 June 1997)
GR: USD 3,023,616 (USA) (15 June 1997)
GR: USD 2,403,090 (USA) (8 June 1997)
GR: USD 1,315,445 (USA) (1 June 1997)

OW: USD 1,315,445 (USA) (1 June 1997) (753 screens)

SD: 13 September 1995 - 18 November 1995"
1672716,"CP: © 1986 Universal City Studios, Inc. All Rights Reserved.

GR: USD 384,043 (USA) (9 November 1986)
GR: USD 377,020 (USA) (2 November 1986)
GR: USD 369,183 (USA) (26 October 1986)
GR: USD 353,529 (USA) (19 October 1986)
GR: USD 323,266 (USA) (12 October 1986)
GR: USD 251,007 (USA) (5 October 1986)
GR: USD 168,317 (USA) (28 September 1986)
GR: USD 118,228 (USA) (21 September 1986)
GR: USD 49,164 (USA) (14 September 1986)
GR: USD 441,863 (USA)

OW: USD 49,164 (USA) (14 September 1986) (3 screens)

SD: 20 January 1986 - ?

WG: USD 5,550 (USA) (9 November 1986) (11 screens)
WG: USD 4,355 (USA) (2 November 1986) (6 screens)
WG: USD 5,247 (USA) (26 October 1986) (7 screens)
WG: USD 18,168 (USA) (19 October 1986) (26 screens)
WG: USD 41,649 (USA) (12 October 1986) (35 screens)
WG: USD 68,959 (USA) (5 October 1986) (31 screens)
WG: USD 30,462 (USA) (28 September 1986) (7 screens)
WG: USD 43,687 (USA) (21 September 1986) (4 screens)
WG: USD 49,164 (USA) (14 September 1986) (3 screens)"
1673848,"AD: 519,175 (Germany) (7 November 1999)
AD: 146,938 (Netherlands) (31 December 1999)

BT: USD 16,000,000

GR: USD 38,176,108 (USA) (29 August 1999)
GR: USD 38,157,265 (USA) (22 August 1999)
GR: USD 38,118,059 (USA) (15 August 1999)
GR: USD 38,048,279 (USA) (8 August 1999)
GR: USD 37,924,768 (USA) (1 August 1999)
GR: USD 37,741,141 (USA) (25 July 1999)
GR: USD 37,484,850 (USA) (18 July 1999)
GR: USD 37,178,640 (USA) (11 July 1999)
GR: USD 36,809,588 (USA) (4 July 1999)
GR: USD 36,496,025 (USA) (27 June 1999)
GR: USD 36,392,238 (USA) (20 June 1999)
GR: USD 36,195,772 (USA) (13 June 1999)
GR: USD 35,691,916 (USA) (6 June 1999)
GR: USD 35,247,192 (USA) (30 May 1999)
GR: USD 34,596,955 (USA) (23 May 1999)
GR: USD 33,824,656 (USA) (16 May 1999)
GR: USD 32,639,900 (USA) (9 May 1999)
GR: USD 31,135,950 (USA) (2 May 1999)
GR: USD 28,771,494 (USA) (25 April 1999)
GR: USD 25,136,802 (USA) (18 April 1999)
GR: USD 20,431,363 (USA) (11 April 1999)
GR: USD 11,521,216 (USA) (4 April 1999)
GR: GBP 2,971,322 (UK) (22 August 1999)
GR: GBP 2,835,770 (UK) (15 August 1999)
GR: GBP 2,585,389 (UK) (8 August 1999)
GR: GBP 2,194,944 (UK) (1 August 1999)
GR: GBP 1,765,837 (UK) (25 July 1999)
GR: GBP 1,169,359 (UK) (18 July 1999)
GR: GBP 439,976 (UK) (11 July 1999)
GR: SGD 412,405 (Singapore) (8 September 1999)
GR: SGD 407,221 (Singapore) (1 September 1999)
GR: SGD 387,889 (Singapore) (25 August 1999)
GR: SGD 350,427 (Singapore) (18 August 1999)
GR: SGD 288,999 (Singapore) (11 August 1999)

OW: USD 8,330,681 (USA) (4 April 1999) (2,271 screens)
OW: GBP 439,976 (UK) (11 July 1999) (211 screens)

SD: 8 June 1998 - 6 August 1998

WG: USD 1,130,857 (USA) (9 May 1999) (1,712 screens)
WG: USD 1,811,809 (USA) (2 May 1999) (2,020 screens)
WG: USD 2,717,023 (USA) (25 April 1999) (2,235 screens)
WG: USD 3,733,562 (USA) (18 April 1999) (2,311 screens)
WG: USD 5,049,227 (USA) (11 April 1999) (2,276 screens)
WG: USD 8,330,681 (USA) (4 April 1999) (2,271 screens)
WG: GBP 37,407 (UK) (22 August 1999) (56 screens)
WG: GBP 92,109 (UK) (15 August 1999) (122 screens)
WG: GBP 188,526 (UK) (8 August 1999) (197 screens)
WG: GBP 142,310 (UK) (1 August 1999) (210 screens)
WG: GBP 262,785 (UK) (25 July 1999) (214 screens)
WG: GBP 386,655 (UK) (18 July 1999) (212 screens)
WG: GBP 439,976 (UK) (11 July 1999) (211 screens)"
1674388,"AD: 3,799,822 (France) (24 June 1997)
AD: 3,680,936 (France) (27 May 1997)
AD: 2,839,128 (France) (22 April 1997)
AD: 830,026 (France) (1 April 1997) (opening week)
AD: 152,657 (France) (1 April 1997) (opening week)
AD: 25,960 (France) (26 March 1997) (opening day)
AD: 2,103,907 (Germany) (5 May 1997)
AD: 2,058,380 (Germany) (28 April 1997)
AD: 1,982,232 (Germany) (21 April 1997)
AD: 1,886,916 (Germany) (14 April 1997)
AD: 1,732,384 (Germany) (8 April 1997)
AD: 1,449,381 (Germany) (2 April 1997)
AD: 1,084,661 (Germany) (24 March 1997)
AD: 761,328 (Germany) (18 March 1997)
AD: 305,536 (Germany) (9 March 1997)
AD: 813,354 (Netherlands) (31 December 1998)
AD: 812,969 (Netherlands) (1 January 1998)
AD: 259,747 (Portugal) (24 April 1997)
AD: 211,177 (Portugal) (10 April 1997)
AD: 173,095 (Portugal) (3 April 1997)
AD: 98,707 (Portugal) (27 March 1997)

BT: USD 54,000,000

GR: USD 136,182,161 (USA) (4 May 1997)
GR: USD 136,122,030 (USA) (27 April 1997)
GR: USD 136,012,978 (USA) (20 April 1997)
GR: USD 135,848,836 (USA) (13 April 1997)
GR: USD 135,539,139 (USA) (6 April 1997)
GR: USD 134,943,247 (USA) (30 March 1997)
GR: USD 134,246,073 (USA) (23 March 1997)
GR: USD 133,600,442 (USA) (16 March 1997)
GR: USD 133,397,071 (USA) (9 March 1997)
GR: USD 133,299,485 (USA) (2 March 1997)
GR: USD 133,198,115 (USA) (23 February 1997)
GR: USD 133,013,171 (USA) (17 February 1997)
GR: USD 132,686,684 (USA) (9 February 1997)
GR: USD 132,193,980 (USA) (2 February 1997)
GR: USD 131,279,096 (USA) (26 January 1997)
GR: USD 125,984,141 (USA) (12 January 1997)
GR: USD 121,788,625 (USA) (5 January 1997)
GR: USD 104,111,652 (USA) (29 December 1996)
GR: USD 84,779,528 (USA) (22 December 1996)
GR: USD 75,575,864 (USA) (15 December 1996)
GR: USD 63,690,609 (USA) (8 December 1996)
GR: USD 45,073,479 (USA) (1 December 1996)
GR: GBP 32,533,933 (UK) (1 March 1997)
GR: GBP 410,940 (UK) (19 January 1997)
GR: USD 168,700,000 (Worldwide) (except USA)
GR: ITL 16,131,423,000 (Italy) (4 May 1997)
GR: ITL 15,390,833,000 (Italy) (20 April 1997)
GR: ITL 14,518,477,000 (Italy) (13 April 1997)
GR: ITL 13,071,724,000 (Italy) (6 April 1997)
GR: ITL 9,464,893,000 (Italy) (30 March 1997)
GR: ITL 6,671,289,000 (Italy) (27 March 1997)

OW: USD 45,073,479 (USA) (1 December 1996) (2,794 screens)

RT: USD 61,585,660 (USA)

SD: 22 October 1995 - 21 January 1996"
1674737,"BT: USD 350,000

CP: copyright mcmlvi orion-nova twelve angry men © all rights reserved (on print); Orion-Nova Twelve Angry Men; 10 April 1957; LP8463 (in copyright registry)

SD: June 1956 - July 1956"
1677011,"AD: 7,204 (Netherlands) (31 December 1998)
AD: 7,177 (Netherlands) (1 January 1998)

CP: © 1996 Rysher Entertainment, Inc.

GR: USD 11,090,856 (USA) (15 December 1996)
GR: USD 11,044,951 (USA) (1 December 1996)
GR: USD 10,994,507 (USA) (17 November 1996)
GR: USD 10,899,660 (USA) (3 November 1996)
GR: USD 10,734,290 (USA) (27 October 1996)
GR: USD 10,252,088 (USA) (20 October 1996)
GR: USD 9,073,824 (USA) (13 October 1996)
GR: USD 6,902,698 (USA) (6 October 1996)
GR: USD 3,352,440 (USA) (29 September 1996)
GR: USD 11,114,000 (USA)

OW: USD 3,352,440 (USA) (29 September 1996) (769 screens)

SD: 31 May 1995 - 3 August 1995"
1677258,"GR: USD 101,944 (USA) (29 April 2007)
GR: USD 93,882 (USA) (1 April 2007)
GR: USD 79,646 (USA) (25 February 2007)
GR: USD 67,876 (USA) (24 December 2006)
GR: USD 57,698 (USA) (10 December 2006)
GR: USD 47,178 (USA) (3 December 2006)
GR: USD 30,182 (USA) (24 November 2006)
GR: USD 11,214 (USA) (19 November 2006)

OW: USD 11,214 (USA) (19 November 2006) (1 screen)

PD: 8 August 1966 - 8 September 1966

WG: USD 1,857 (USA) (29 April 2007) (1 screen)
WG: USD 6,911 (USA) (1 April 2007) (2 screens)
WG: USD 2,550 (USA) (25 February 2007) (1 screen)
WG: USD 4,412 (USA) (24 December 2006)
WG: USD 5,905 (USA) (10 December 2006)
WG: USD 8,050 (USA) (3 December 2006) (1 screen)
WG: USD 10,764 (USA) (24 November 2006) (1 screen)
WG: USD 11,214 (USA) (19 November 2006) (1 screen)"
1677346,"BT: USD 60,000

GR: USD 536,767 (USA) (25 April 1999)
GR: USD 525,085 (USA) (18 April 1999)
GR: USD 507,993 (USA) (11 April 1999)
GR: USD 479,801 (USA) (4 April 1999)
GR: USD 416,428 (USA) (28 March 1999)
GR: USD 314,617 (USA) (21 March 1999)
GR: USD 218,710 (USA) (14 March 1999)
GR: USD 116,141 (USA) (7 March 1999)
GR: USD 40,244 (USA) (28 February 1999)

OW: USD 40,244 (USA) (28 February 1999) (3 screens)"
