directorid,name,rate,gross,num
67,"Aalmuhammed, Jefri",7.0,42952,1
92,"Aarniokoski, Douglas",4.3,12801190,1
284,"Abbott, George (I)",6.8,0,1
708,"Abraham, Adam (I)",6.8,33031,1
746,"Abrahams, Jim",26.2,213481148,4
836,"Abramson, Neil",3.0,9247881,1
947,"Abugov, Jeff",6.0,0,1
1151,"Ackerman, Robert Allan",6.1,1607319,1
1756,"Adetuyi, Robert",4.1,1244676,1
1836,"Adler, Gilbert (I)",5.0,5587855,1
1851,"Adler, Lou",6.8,41590893,1
3134,"Akerman, Chantal",5.9,243750,1
3707,"Albacete, Alfonso",5.6,1066832,1
4164,"Aldrich, Robert (I)",22.8,54300000,3
4451,"Alexander, Scott (I)",5.3,7027345,1
4621,"Algar, James",22.3,384237941,3
4637,"Algrant, Daniel",5.6,1038959,1
4930,"Allcroft, Britt",2.9,15911333,1
4997,"Allen, Corey (I)",4.1,0,1
5049,"Allen, Irwin (I)",17.2,264850,3
5088,"Allen, Kevin (I)",12.4,259765,2
5185,"Allen, Woody",145.4,283179015,20
5201,"Allers, Roger",8.4,945578747,1
5308,"Allouache, Merzak",6.2,0,1
5425,"Almereyda, Michael",11.6,2015683,2
5442,"Almodóvar, Pedro",42.8,24322117,6
5763,"Altieri, Kevin",7.6,5588699,1
5798,"Altman, Robert (I)",80.5,181768600,12
6057,"Alves, Joe (I)",3.5,87987055,1
6301,"Amateau, Rod",2.7,1576615,1
6429,"Amelio, Gianni",7.4,4788331,1
6458,"Amenábar, Alejandro",7.8,368234,1
6523,"Amiel, Jon",24.8,398358068,4
6981,"Anders, Allison",24.8,8366223,4
7117,"Anderson, Brad (II)",6.5,3386698,1
7212,"Anderson, J. Todd",5.2,0,1
7309,"Anderson, Lindsay (I)",7.6,0,1
7335,"Anderson, Michael (I)",6.8,25000000,1
7365,"Anderson, Paul Thomas",23.1,91695753,3
7366,"Anderson, Paul W.S.",17.3,169269162,3
7387,"Anderson, Robert (XVII)",0.0,0,1
7456,"Anderson, Wes (I)",14.8,18136932,2
7682,"Andreef, Christina (I)",6.4,11132,1
8157,"Angelo, Yves",6.8,734406,1
8168,"Angelopoulos, Theodoros",7.4,106486,1
8171,"Angelou, Maya",6.7,5662985,1
8343,"Annakin, Ken",14.7,50000000,2
8349,"Annaud, Jean-Jacques",28.2,291055898,4
8468,"Anspaugh, David",20.6,53846745,3
8685,"Antonijevic, Predrag",7.1,12903,1
8702,"Antonioni, Michelangelo",14.4,20000000,2
9131,"Apted, Michael",24.5,429426530,4
9273,"Araki, Gregg",16.6,332376,3
9314,"Aranda, Vicente",5.9,188789,1
9381,"Arau, Alfonso",13.4,71678007,2
9494,"Arbuckle, Roscoe 'Fatty'",6.4,0,1
9510,"Arcand, Denys",6.5,953755,1
9679,"Ardolino, Emile",12.6,445554274,2
9836,"Argento, Dario",6.6,0,1
10177,"Armitage, George",7.3,28014536,1
10238,"Armstrong, Gillian",13.7,51592305,2
10292,"Armstrong, Samuel (I)",22.5,293363371,3
10450,"Arnold, Jack (I)",19.8,1300000,3
10484,"Arnold, Newt",6.5,11806119,1
10582,"Aronofsky, Darren",15.9,10580970,2
10722,"Arrick, Larry",5.0,0,1
10892,"Arteta, Miguel",12.0,1643173,2
11239,"Ashby, Hal",44.2,90177511,6
11282,"Asher, John (I)",5.3,81897,1
11290,"Asher, William (I)",14.3,0,3
11324,"Ashley, Christopher (III)",6.2,3487767,1
11566,"Asquith, Anthony",14.3,0,2
11602,"Assayas, Olivier",6.9,36662,1
12018,"Attenborough, Richard",21.0,93076243,3
12251,"August, Bille",20.1,22359219,3
12394,"Auster, Paul",20.0,9625429,3
12439,"Austin, Michael (I)",5.5,3021629,1
12546,"Avary, Roger",6.4,418953,1
12551,"Avati, Pupi",6.1,89263,1
12677,"Avildsen, John G.",31.7,569194938,5
12720,"Avnet, Jon",25.6,170724941,4
12931,"Aykroyd, Dan",4.4,8479793,1
12945,"Aylott, David (I)",0.0,0,1
13312,"Babayan, Agasi",7.9,0,1
13331,"Babbit, Jamie",6.2,2595216,1
13518,"Bach, Jean (I)",7.4,527274,1
13745,"Badham, John",34.9,196467268,6
13841,"Baer Jr., Max",4.8,0,1
14111,"Baichwal, Jennifer",7.2,9188,1
14131,"Baigelman, Steven (II)",5.3,3102672,1
14198,"Bailey, Fenton",7.0,1025234,1
14380,"Baird, Stuart",12.7,222973170,2
14569,"Baker, Graham (I)",11.5,30787918,2
14624,"Baker, Marvin",3.8,0,1
14663,"Baker, Roy Ward",21.2,0,3
14791,"Bakshi, Ralph",12.7,36471420,2
14824,"Balaban, Bob",4.9,3335984,1
14901,"Balasko, Josiane",6.2,1400000,1
15061,"Baldwin, Craig (I)",6.9,0,1
15089,"Baldwin, Peter (I)",4.8,3999612,1
15282,"Ballard, Carroll",14.1,52075756,2
15635,"Bancroft, Tony",7.3,236918403,1
15640,"Band, Charles",3.0,7000000,1
15661,"Banderas, Antonio",5.9,1954202,1
15725,"Banfield, George J.",0.0,0,1
