movieid,name
1672052,"Australian Video [au] - (1982) (Australia) (video)"
1672052,"Belle & Blade Studios [us] - (video)"
1672052,"British Broadcasting Corporation (BBC) [gb] - (1984) (UK) (TV) (BBC 1)"
1672052,"British Broadcasting Corporation (BBC) [gb] - (1986) (UK) (TV) (BBC 2)"
1672052,"British Broadcasting Corporation (BBC) [gb] - (1988) (UK) (TV) (BBC 1)"
1672052,"British Broadcasting Corporation (BBC) [gb] - (1993) (UK) (TV) (BBC 1)"
1672052,"British Broadcasting Corporation (BBC) [gb] - (1995) (UK) (TV) (BBC 1)"
1672052,"British Broadcasting Corporation (BBC) [gb] - (1997) (UK) (TV) (BBC 1)"
1672052,"Criterion Collection, The [us] - (1997) (USA) (video) (laserdisc)"
1672052,"Europa Film [se] - (1981) (Sweden) (theatrical)"
1672052,"Fox Lorber [us] - (USA) (DVD)"
1672052,"Image Entertainment [us] - (2008) (USA) (DVD)"
1672052,"Live Home Video [us] - (USA) (laserdisc)"
1672052,"Národní Filmový Archiv (NFA) [cz] - (Czech Republic)"
1672052,"Nelson Entertainment [us] - (USA) (laserdisc)"
1672052,"New World Pictures [us] - (1980) (USA) (theatrical)"
1672052,"New World-Quartet Films [us] - (1980) (USA) (theatrical)"
1672052,"Quartet Films Inc. [us] - (1980) (USA) (theatrical)"
1672052,"RCA/Columbia Pictures Home Video [us] - (1981) (USA) (VHS)"
1672052,"Reel Australia [au] - (2001) (Australia) (DVD)"
1672052,"Roadshow Entertainment [au] - (1980) (Australia) (theatrical)"
1672052,"Southern Star International - (2006) (worldwide) (all media)"
1672052,"Southern Star Sales [au] - (2006) (worldwide) (all media)"
1672111,"Argentina Video Home [ar] - (Argentina) (video)"
1672111,"CBS/Fox Home Video [au] - (Australia) (VHS)"
1672111,"Columbia Broadcasting System (CBS) [us] - (1991) (USA) (TV) (broadcast premiere)"
1672111,"Fox Video [au] - (Australia) (VHS)"
1672111,"Home Video Hellas (HVH) [gr] - (1990) (Greece) (VHS)"
1672111,"Paramount Filmes do Brasil [br] - (2004) (Brazil) (DVD)"
1672111,"Paramount Filmes do Brasil [br] - (2004) (Brazil) (VHS)"
1672111,"Paramount Pictures [us] - (1988) (USA) (theatrical)"
1672111,"Paramount [se] - (2004) (Sweden) (DVD)"
1672111,"Svenska Filminstitutet (SFI) [se] - (1988) (Sweden) (theatrical)"
1672111,"United International Pictures (UIP) [se] - (1988) (Sweden) (theatrical)"
1672580,"National Broadcasting Company (NBC) [us] - (2000) (USA) (TV) (broadcast premiere)"
