editorid,name
109,"Abadal, Pere"
317,"Abel, Doug (I)"
503,"Abramowitz, Jane Pia"
568,"Abroms, Edward M."
734,"Ackland, Noreen"
772,"Acosta, Tom (I)"
804,"Adair, Sandra"
826,"Adam, Peter R."
911,"Adams, Edgar"
1006,"Adams, Tracy (I)"
1008,"Adams, Warren (I)"
1171,"Adler, Anthony"
1178,"Adler, Diane"
1191,"Adler, Robbie"
1617,"Ah, Jack"
1946,"Akers, George (I)"
2031,"Akst, Albert"
2133,"Alabiso, Daniele"
2135,"Alabiso, Eugenio"
2303,"Albert, Ross"
2333,"Albertson, Eric (I)"
2335,"Albertson, Sean"
2532,"Aledo, Iván"
2552,"Aleksandrov, Grigori"
3039,"Allen, Dede"
3042,"Allen, Dick (II)"
3054,"Allen, Fred (II)"
3090,"Allen, John David"
3172,"Allen, Stanford C."
3554,"Althoff, Andreas"
3576,"Altman, Robert (I)"
3760,"Alverson, Timothy"
3961,"Ambinder-Rojas, Jessica"
4123,"Amitai, Yasmine"
4234,"Amundson, Peter"
4240,"Amy, George"
4243,"Amyx, Tim"
4440,"Anderson, Brad (II)"
4570,"Anderson, Kevin (V)"
4595,"Anderson, Marc (I)"
4643,"Anderson, Philip W."
4699,"Anderson, William A. (II)"
4702,"Anderson, William M."
4996,"Andrianova, Olga"
5484,"Antonioni, Michelangelo"
5561,"Anwar, Tariq"
5619,"Apelbaum, Martin"
5823,"Arai, Makoto (I)"
5840,"Araki, Gregg"
5994,"Arcalli, Franco"
5997,"Arcand, Michel"
6080,"Arcidi, Anthony"
6184,"Arensman, Brad"
6522,"Arnal, Hélène"
6654,"Arnsten, Stefan (I)"
6671,"Aron, Donn"
7131,"Ashby, Hal"
7479,"Atherton, Claire"
7520,"Atkins, Mark (II)"
7678,"Aubrey, David (I)"
7728,"Audsley, Mick"
7797,"Augé, Jennifer"
7919,"Austin, William (II)"
8074,"Avildsen, John G."
8225,"Aykanian, Carole Kravetz"
8263,"Ayyar, Suresh"
8275,"Azar, Léonide"
8582,"Bachom, Jack"
8660,"Badami, Bob"
9145,"Baird, Stuart"
9318,"Baker, Marvin"
9327,"Baker, Nancy (I)"
9490,"Balcerek, Scott"
9739,"Ballas, James"
9819,"Balsam, Alan"
9834,"Balson, Michael (I)"
10156,"Baragli, Nino"
10519,"Baril, Alain"
10520,"Baril, Alan"
10767,"Barnes, Paul (I)"
10848,"Barnier, Luc"
10897,"Baron, Suzanne (I)"
10985,"Barraqué, Martine"
11029,"Barrere, Robert"
11126,"Barrios, Jose A."
11147,"Barrois, Claude"
11270,"Barsha, Leon"
11333,"Barthel, Beau"
11472,"Barton, Sean (I)"
11628,"Baskin, Sonny"
11676,"Bassett, Craig (I)"
11741,"Bastille, Ned"
11827,"Bates, Bert"
11955,"Baubeau, Roland"
11958,"Bauchens, Anne"
11974,"Baudry, Anne"
12005,"Bauer, Mary (I)"
12026,"Bauer, Tristán"
12050,"Baum, David (I)"
12104,"Baumgarten, Alan"
12479,"Beason, Eric L."
12567,"Beaulieu, Lise"
12573,"Beauman, Nicholas"
12872,"Bedford, James Gavin"
12987,"Beetley, Samuel E."
13140,"Bekolo, Jean-Pierre"
13170,"Belcher, Robert (I)"
13186,"Beldin, Dale"
13254,"Bell, Alan Edward"
13334,"Bell, Monta"
13576,"Belvaux, Rémy"
13599,"Beman White, Jennifer"
13642,"Ben-David, Tal"
13740,"Bender, Bob (II)"
13811,"Benedict, Max"
14111,"Benoit, Nicole (II)"
14139,"Bensley, Guy"
14320,"Berckmans, Nicole"
14324,"Berdan, Brian"
14337,"Berenbaum, Michael (I)"
14481,"Berger, Peter E."
14699,"Berlatsky, David"
14722,"Berlinger, Joe"
14739,"Berman, Glenn"
14740,"Berman, Henry"
14836,"Bernard, Nena"
14858,"Bernardi, Adam"
14890,"Berndt, George"
14895,"Berner, Alexander"
15158,"Bertman, David L."
15290,"Bessner, Jeff"
15326,"Besterveld, Beth Jochem"
15346,"Betancourt, Jeff"
15497,"Beyda, Kent"
15923,"Biery, Edward A."
15959,"Biggerstaff, Caroline"
16024,"Bilancio, Ivan"
16040,"Bilcock, Jill"
16079,"Billeskov Jansen, Janus"
16166,"Bindler, S.R."
16187,"Bini, Joe"
16211,"Binns, T. David"
16340,"Birnbaum, Irving"
16384,"Bischoff, Robert (I)"
16403,"Bishop, Brian J."
16769,"Blackwell, Ken (I)"
16819,"Blainey, Sue"
17097,"Blankett Milicevic, Betsy"
17215,"Bleiman, Edie"
17240,"Blewitt, David E."
17398,"Bloom, John (II)"
17515,"Blumenthal, Andy (I)"
17536,"Blunden, Bill"
17537,"Blunden, Chris (I)"
17692,"Bock, Larry"
17735,"Boden, Kristina"
17815,"Boemler, George"
17900,"Bogdanovich, Peter"
18040,"Boischot, Dominique"
18052,"Boisson, Noëlle"
18065,"Boita, Peter"
18114,"Bolado, Carlos (I)"
18342,"Bonanni, Mauro"
18414,"Bondelli, Roger"
18426,"Bondy, Arpad (I)"
18523,"Bonin, Madeleine"
18538,"Bonn, John H."
18555,"Bonnefoy, Mathilde"
18598,"Bonnot, Françoise"
18617,"Bonotti, Mario"
18649,"Bonz, Rob"
18676,"Boome, Adam"
18724,"Booth, Alfred"
18739,"Booth, Margaret (I)"
18975,"Bornstein, Charles"
18977,"Bornstein, Ken"
19076,"Borthwick, Dave"
19373,"Bouché, Claudine"
19526,"Bourgueil, Philippe"
19616,"Boutross, Tom"
19621,"Bouveret, Suzette"
19630,"Bouwmeester, Henny"
19729,"Bowers, George (I)"
20018,"Boyle, Peter (II)"
20121,"Bracht, Frank"
20126,"Bracken, Richard"
20264,"Bradsell, Michael (I)"
20288,"Brady, Bob"
20300,"Brady, Jerry"
20417,"Brame, Bill"
20505,"Brandenburger, Elfe"
20532,"Brandon, Maryann"
20558,"Brandt, Byron 'Buzz'"
20582,"Brandt-Burgoyne, Anita"
20862,"Brechin, Derek (I)"
20933,"Breitenbach, Al"
21036,"Brenner, David (I)"
21040,"Brenner, Gordon D."
21122,"Bretherton, David"
21173,"Brewer Jr., Roy M."
21271,"Bricker, Randy (I)"
21279,"Bricmont, Wendy Greene"
21457,"Bring, Bob"
21518,"Brisk, Angelica"
21592,"Brizio, Edward"
21638,"Brochu, Don"
