movieid,producerid,addition
1672052,73218,"(producer) (as Matthew Carroll)"
1672111,95806,(producer)
1672111,209870,"(executive producer)"
1672111,429150,(producer)
1672111,485365,"(associate producer)"
1672580,147659,(producer)
1672580,173930,(co-producer)
1672580,313943,"(associate producer)"
1672580,328150,"(associate producer)"
1672580,380634,(producer)
1672580,408018,(producer)
1672580,440147,"(executive producer)"
1672580,469981,"(executive producer)"
1672580,521799,(co-producer)
1672716,65335,"(executive producer)"
1672716,125023,"(associate producer)"
1672716,182627,(producer)
1672716,264423,"(executive producer)"
1672716,452592,(producer)
1672716,521155,"(associate producer) (as Wallace Worsley)"
1672946,329403,"(executive producer)"
1673647,240973,(producer)
1673647,424783,"(associate producer)"
1673658,270613,(producer)
1673658,287650,(producer)
1673848,81774,"(executive producer)"
1673848,200765,(co-producer)
1673848,226705,"(executive producer)"
1673848,269184,(producer)
1673848,441078,"(associate producer)"
1674388,143849,"(executive producer)"
1674388,216284,(producer)
1674388,318492,(producer)
1674388,326629,"(creative producer)"
1674388,411553,"(associate producer)"
1674388,413619,"(executive producer) (uncredited)"
1674388,433930,"(entertainment producer)"
1674388,433931,"(creative producer)"
1674737,151457,(producer)
1674737,235345,"(associate producer)"
1674737,407496,(producer)
1677011,10523,"(executive producer)"
1677011,63104,(co-producer)
1677011,160275,"(associate producer)"
1677011,298740,"(associate producer)"
1677011,322347,"(associate producer)"
1677011,340109,(producer)
1677011,418182,"(executive producer)"
1677011,500761,(producer)
1677258,107382,(producer)
1677258,289236,(producer)
1677346,68282,"(associate producer)"
1677346,72894,"(executive producer)"
1677346,163569,"(line producer)"
1677346,180744,"(associate producer)"
1677346,240488,"(associate producer)"
1677346,310678,(producer)
1677346,323922,(co-producer)
1677346,417880,"(executive producer)"
1677346,496547,(producer)
1677472,309701,(producer)
1677516,34218,(producer)
1677516,39763,(co-producer)
1677516,160582,(producer)
1677516,182138,"(executive producer)"
1677516,263680,(co-producer)
1677516,344084,"(executive producer)"
1677516,406945,(co-producer)
1677516,408018,"(executive producer)"
1677516,440147,"(executive producer)"
1677516,469981,"(executive producer)"
1677516,478755,(producer)
1677516,521799,"(executive producer)"
1677631,259105,(producer)
1677631,288703,"(associate producer) (uncredited)"
1678036,218633,(producer)
1678036,290755,"(associate producer)"
1678036,530468,"(associate producer)"
1678591,140283,"(executive producer)"
1678591,156486,"(line producer)"
1678591,380987,"(executive producer)"
1678591,475922,"(executive producer)"
1678591,509760,(producer)
1678591,520919,"(executive producer)"
1679029,96972,"(co-producer) (as Celia Costas)"
1679029,480005,(producer)
1679461,36014,(producer)
1679461,237933,(producer)
1679461,272236,"(executive producer)"
1679461,338653,"(coordinating producer)"
1679461,361211,"(line producer)"
1679461,437895,"(executive producer) (as Simon Sheen)"
1679507,72202,"(executive producer)"
1679507,156133,"(associate producer)"
1679507,257862,"(executive producer)"
1679507,314694,"(executive producer)"
1679507,332687,(producer)
1679507,418389,(co-producer)
1679920,248278,"(executive producer)"
1679920,363153,"(producer) (as Chul-soo Park)"
1681633,172391,(producer)
1681633,173492,(producer)
1681633,507724,"(executive producer)"
1681655,71968,"(executive producer)"
1681655,89501,"(executive producer)"
1681655,117448,(producer)
1681655,171684,(producer)
1681655,190761,(producer)
1681655,248971,"(associate producer)"
1681655,287296,"(line producer)"
1681655,507698,"(executive producer)"
1681655,507723,"(executive producer)"
1681655,523035,"(production executive: FilmColony)"
1682630,282097,(producer)
1682657,40289,(producer)
1682657,153264,(co-producer)
1682657,222819,"(executive producer)"
1682657,257862,(producer)
1682657,261745,"(line producer) (as Andrew G. LaMarca)"
1682657,454429,(producer)
